uf,geocode,regional,regional_geocode,macroregional,macroregional_geocode
RS,4305124,Região 21 - Sul,43021,Sul,4309
BA,2931301,Jacobina,29014,Centro - Norte,2918
SP,3541802,Tupã,35095,RRAS10,3533
RS,4305132,Região 27 - Jacuí Centro,43027,Vales,4308
RN,2404903,Pau dos Ferros,24006,Macrorregião II,2401
BA,2923704,Ibotirama,29008,Oeste,2912
PR,4117305,21ª RS Telêmaco Borba,41021,Leste,4107
RS,4305157,Região 20 - Rota da Produção,43020,Norte,4311
RS,4305173,Região 09 - Carbonífera/Costa Doce,43009,Metropolitana,4313
RS,4305207,Região 11 - Sete Povos das Missões,43011,Missioneira,4312
GO,5219456,São Patrício II,52018,Centro-Norte,5209
RO,1100601,Vale do Jamari,11001,Porto Velho,1102
RJ,3304102,Noroeste,33007,Macrorregião III,3310
BA,2926509,Ribeira do Pombal,29019,Nordeste,2914
RO,1100379,Zona da Mata,11005,Cacoal,1101
MG,3164704,São Sebastião do Paraíso,31009,Sul,3101
RO,1100346,Central,11003,Porto Velho,1102
RJ,3303955,Médio Paraíba,33004,Macrorregião I,3312
SE,2803708,Itabaiana,28003,Macro Única,2801
PI,2205557,Entre Rios,22004,Meio Norte,2208
SP,3533106,Alta Paulista,35111,RRAS11,3532
MG,3148905,Lagoa da Prata/Sto Ant do Monte,31087,Oeste,3105
RO,1100262,Vale do Jamari,11001,Porto Velho,1102
BA,2904605,Brumado,29003,Sudoeste,2911
RO,1101302,Central,11003,Porto Velho,1102
GO,5214879,Serra da Mesa,52014,Centro-Norte,5209
BA,2903805,Itaberaba,29011,Centro-Leste,2917
GO,5214051,Norte,52008,Centro-Norte,5209
RO,1100254,Central,11003,Porto Velho,1102
RO,1100189,Café,11002,Cacoal,1101
RJ,3303609,Centro Sul,33003,Macrorregião I,3312
BA,2922102,Feira de Santana,29006,Centro-Leste,2917
BA,2927002,Alagoinhas,29001,Nordeste,2914
BA,2903508,Vitória da Conquista,29028,Sudoeste,2911
SE,2802106,Estância,28002,Macro Única,2801
SP,3549250,Fernandópolis,35154,RRAS12,3531
RO,1100122,Central,11003,Porto Velho,1102
RJ,3303302,Metropolitana II,33006,Macrorregião II,3311
PI,2205276,Carnaubais,22001,Meio Norte,2208
RO,1100098,Café,11002,Cacoal,1101
PR,4124905,14ª RS Paranavaí,41014,Noroeste,4106
RO,1100072,Cone Sul,11006,Cacoal,1101
PB,2507309,14ª Região,25014,João Pessoa,2503
RO,1100064,Cone Sul,11006,Cacoal,1101
RJ,3304755,Norte,33008,Macrorregião III,3310
RO,1100015,Zona da Mata,11005,Cacoal,1101
GO,5211701,Centro Sul,52002,Centro Sudeste,5210
SP,3548203,Vale do Paraíba/Reg. Serrana,35174,RRAS17,3526
RN,2407252,Pau dos Ferros,24006,Macrorregião II,2401
RJ,3302304,Noroeste,33007,Macrorregião III,3310
GO,5211305,Sudoeste I,52015,Sudoeste,5206
RN,2406403,Santa Cruz,24005,Macrorregião I,2402
BA,2933174,Santo Antônio de Jesus,29022,Leste,2915
RN,2414605,Mossoró,24002,Macrorregião II,2401
RJ,3302205,Noroeste,33007,Macrorregião III,3310
GO,5209705,Centro Sul,52002,Centro Sudeste,5210
SC,4219101,Xanxerê,42003,Grande Oeste,4213
SC,4218855,Oeste,42002,Grande Oeste,4213
SC,4219408,Alto Vale do Itajaí,42004,Alto Vale do Itajaí,4216
SC,4203006,Alto Vale do Rio do Peixe,42009,Meio Oeste e Serra Catarinense,4212
SC,4202131,Planalto Norte,42012,Planalto Norte e Nordeste,4211
SC,4202875,Meio Oeste,42008,Meio Oeste e Serra Catarinense,4212
SC,4202537,Xanxerê,42003,Grande Oeste,4213
SC,4203600,Meio Oeste,42008,Meio Oeste e Serra Catarinense,4212
SC,4203303,Planalto Norte,42012,Planalto Norte e Nordeste,4211
SP,3547650,Jales,35153,RRAS12,3531
SC,4204251,Carbonífera,42015,Sul,4210
SC,4204608,Carbonífera,42015,Sul,4210
SC,4204806,Alto Vale do Rio do Peixe,42009,Meio Oeste e Serra Catarinense,4212
SC,4205191,Extremo Sul Catarinense,42014,Sul,4210
SC,4205456,Carbonífera,42015,Sul,4210
SC,4215075,Oeste,42002,Grande Oeste,4213
SC,4206702,Meio Oeste,42008,Meio Oeste e Serra Catarinense,4212
SC,4206751,Alto Vale do Rio do Peixe,42009,Meio Oeste e Serra Catarinense,4212
SC,4215208,Extremo Oeste,42001,Grande Oeste,4213
SC,4207908,Planalto Norte,42012,Planalto Norte e Nordeste,4211
SC,4200408,Meio Oeste,42008,Meio Oeste e Serra Catarinense,4212
SC,4215406,Alto Vale do Rio do Peixe,42009,Meio Oeste e Serra Catarinense,4212
SC,4208401,Extremo Oeste,42001,Grande Oeste,4213
RJ,3301801,Centro Sul,33003,Macrorregião I,3312
SC,4208609,Meio Oeste,42008,Meio Oeste e Serra Catarinense,4212
SC,4216701,Extremo Oeste,42001,Grande Oeste,4213
SC,4208708,Extremo Sul Catarinense,42014,Sul,4210
SC,4215653,Extremo Sul Catarinense,42014,Sul,4210
MG,3146701,Leopoldina / Cataguases,31044,Sudeste,3107
SC,4209003,Meio Oeste,42008,Meio Oeste e Serra Catarinense,4212
SC,4207809,Alto Uruguai Catarinense,42010,Meio Oeste e Serra Catarinense,4212
SC,4210035,Meio Oeste,42008,Meio Oeste e Serra Catarinense,4212
SC,4210100,Planalto Norte,42012,Planalto Norte e Nordeste,4211
SP,3549409,Alta Anhanguera,35082,RRAS13,3530
SC,4216255,Extremo Oeste,42001,Grande Oeste,4213
SC,4211009,Extremo Oeste,42001,Grande Oeste,4213
SC,4211108,Planalto Norte,42012,Planalto Norte e Nordeste,4211
SC,4201273,Alto Uruguai Catarinense,42010,Meio Oeste e Serra Catarinense,4212
SC,4211603,Carbonífera,42015,Sul,4210
SC,4213203,Médio Vale do Itajaí,42006,Alto Vale do Itajaí,4216
SC,4217204,Extremo Oeste,42001,Grande Oeste,4213
SC,4201802,Alto Vale do Itajaí,42004,Alto Vale do Itajaí,4216
SC,4212205,Planalto Norte,42012,Planalto Norte e Nordeste,4211
MG,3147303,Itajubá,31003,Sul,3101
MG,3147501,Itabira,31021,Centro,3103
SC,4211256,Extremo Sul Catarinense,42014,Sul,4210
SC,4220000,Carbonífera,42015,Sul,4210
SC,4217907,Alto Vale do Rio do Peixe,42009,Meio Oeste e Serra Catarinense,4212
SC,4213351,Alto Vale do Rio do Peixe,42009,Meio Oeste e Serra Catarinense,4212
SC,4208807,Laguna,42016,Sul,4210
SC,4218202,Médio Vale do Itajaí,42006,Alto Vale do Itajaí,4216
SC,4213807,Extremo Sul Catarinense,42014,Sul,4210
SC,4202156,Extremo Oeste,42001,Grande Oeste,4213
RN,2414159,Caicó,24004,Macrorregião I,2402
SC,4202404,Médio Vale do Itajaí,42006,Alto Vale do Itajaí,4216
SC,4218806,Extremo Sul Catarinense,42014,Sul,4210
